text,label
"Yo estuve en la oficina el lunes 3 de marzo a las 9 de la manana.",1
"Compre el carro en la agencia el 12 de abril por 15000 dolares.",1
"Vi a Maria en el parque ayer a las 5 de la tarde.",1
"Termine el reporte el viernes 20 de mayo antes del mediodia.",1
"Pague la factura numero 4521 el 2 de enero.",1
"Llegue a casa a las 8 y cene con mi familia.",1
"Firme el contrato el 15 de junio en la notaria.",1
"Entregue las llaves al portero el 10 de julio.",1
"Recibi el paquete el martes 4 de agosto por la manana.",1
"Hable con mi jefe el miercoles sobre el proyecto 7.",1
"Fui al medico el 9 de septiembre a las 3 de la tarde.",1
"Deposite 2000 pesos en el banco el 1 de octubre.",1
"Creo que tal vez alguien vio algo pero no estoy seguro.",0
"Quizas ellos hicieron algo raro, no recuerdo bien.",0
"Parece que el dijo algo pero no se exactamente que.",0
"Posiblemente alguien tomo eso, no se quien fue.",0
"Tal vez fue otra persona, no fui yo.",0
"No se, creo que fue en algun momento, no recuerdo.",0
"Alguien dijo que quizas paso algo malo.",0
"No estoy seguro pero creo que ellos mintieron.",0
"Puede que alguien haya llegado tarde, no lo vi bien.",0
"Quizas el problema fue de otra persona, no mio.",0
"Parece que algo paso pero nadie sabe que fue.",0
"Tal vez perdieron algo, no se exactamente cuando.",0
